"lon";"lat";"species";"datasetKey";"reference";"ID";"sst_mean";"sst_range";"ph_mean";"dissolved_oxygen";"bathymetry_mean";"cell";"sp"
-85.74692;30.10079;"Epinephelus itajara";"50c9509d-22c7-4a22-a47d-8c48425ef4a7";"GBIF";98;23.3672380924422;15.7155647399259;8.07121768207241;221.540318203395;-2.27777767181396;1610284;1
-79.040968;20.812195;"Epinephelus itajara";"50c9509d-22c7-4a22-a47d-8c48425ef4a7";"GBIF";99;28.1268266113236;5.86541462871137;8.05700938091502;202.045344609611;-264.888885498047;2615004;1
-78.918861;20.637877;"Epinephelus itajara";"50c9509d-22c7-4a22-a47d-8c48425ef4a7";"GBIF";100;28.1861061326444;4.93016359982753;8.05671598302946;202.082111300125;-2290.66674804688;2636610;1
-78.963218;20.963849;"Epinephelus itajara";"50c9509d-22c7-4a22-a47d-8c48425ef4a7";"GBIF";101;28.0889338682611;6.57680155698569;8.05745982484284;201.989957409243;-19.5;2598802;1
-78.938954;20.997299;"Epinephelus itajara";"50c9509d-22c7-4a22-a47d-8c48425ef4a7";"GBIF";103;28.0824034401384;6.66871015384756;8.0573491354141;201.990952976967;-18.0277786254883;2598803;1
-78.845765;20.719491;"Epinephelus itajara";"50c9509d-22c7-4a22-a47d-8c48425ef4a7";"GBIF";104;28.1488842177986;5.84706402990185;8.05673797133417;201.999439551646;-439.777770996094;2625810;1
-81.238361;29.858423;"Epinephelus itajara";"50c9509d-22c7-4a22-a47d-8c48425ef4a7";"GBIF";106;23.4113135521675;15.19851555936;8.08978179868482;216.852237952006;-14.3888893127441;1637379;1
-80.180412;27.160391;"Epinephelus itajara";"50c9509d-22c7-4a22-a47d-8c48425ef4a7";"GBIF";107;25.4147044674781;8.80364568669281;8.06141845791385;206.407645705307;0;1929054;1
-80.061236;27.187335;"Epinephelus itajara";"50c9509d-22c7-4a22-a47d-8c48425ef4a7";"GBIF";109;25.4285250082046;8.28686066983309;8.06001098316395;206.068079706516;-15.1666669845581;1929056;1
-51.924185;4.894663;"Epinephelus itajara";"50c9509d-22c7-4a22-a47d-8c48425ef4a7";"GBIF";110;27.9260267151194;2.82932511099514;8.01113402863175;211.94139884794;-13.277777671814;4338465;1
-81.944837;24.630448;"Epinephelus itajara";"50c9509d-22c7-4a22-a47d-8c48425ef4a7";"GBIF";111;26.6856760004063;11.5865365480079;8.05774732511373;207.762775373028;-3.86111116409302;2204470;1
-80.812335;24.866876;"Epinephelus itajara";"50c9509d-22c7-4a22-a47d-8c48425ef4a7";"GBIF";112;26.9548713391656;10.7314619442028;8.05387872265494;205.389735728203;-2;2177487;1
-78.85046;20.916998;"Epinephelus itajara";"50c9509d-22c7-4a22-a47d-8c48425ef4a7";"GBIF";113;28.0954927900108;6.59584284074089;8.05714940025105;201.987146134065;-18.8333339691162;2604205;1
-80.60362;24.883951;"Epinephelus itajara";"50c9509d-22c7-4a22-a47d-8c48425ef4a7";"GBIF";115;27.0365272861411;9.03040806908283;8.05510384386236;205.161734841087;-3.80555558204651;2177491;1
-80.045214;26.213998;"Epinephelus itajara";"50c9509d-22c7-4a22-a47d-8c48425ef4a7";"GBIF";117;27.0885263451805;8.00605184400408;8.0568561336357;205.413258340013;-179.611114501953;2031676;1
-81.535484;24.753835;"Epinephelus itajara";"50c9509d-22c7-4a22-a47d-8c48425ef4a7";"GBIF";118;26.7243797042753;12.2229746480639;8.05500160400932;206.839238388423;-3.16666674613953;2188275;1
-82.579288;26.88576;"Epinephelus itajara";"50c9509d-22c7-4a22-a47d-8c48425ef4a7";"GBIF";121;25.2111488430795;15.5550795537711;8.05717696299364;213.811080112367;-17.9166660308838;1961412;1
-82.522131;27.743862;"Epinephelus itajara";"50c9509d-22c7-4a22-a47d-8c48425ef4a7";"GBIF";122;24.7829368073004;17.2966430433814;8.05417332340535;216.374629721174;-3.08333325386047;1869596;1
-80.566003;24.984374;"Epinephelus itajara";"50c9509d-22c7-4a22-a47d-8c48425ef4a7";"GBIF";124;26.9053837573906;9.74515947897651;8.05599476632807;205.152738346982;0;2166690;1
-81.714195;25.838025;"Epinephelus itajara";"50c9509d-22c7-4a22-a47d-8c48425ef4a7";"GBIF";126;25.9742847271187;14.7533419893414;8.05289905348536;210.962470940346;-4.97222232818604;2074850;1
-80.466309;24.981507;"Epinephelus itajara";"50c9509d-22c7-4a22-a47d-8c48425ef4a7";"GBIF";128;26.9079599868532;9.01879309071172;8.05664050485395;205.148277551285;-5.72222232818604;2166692;1
-81.216345;24.746276;"Epinephelus itajara";"50c9509d-22c7-4a22-a47d-8c48425ef4a7";"GBIF";130;26.9128991470146;10.7745455014052;8.05484270558571;205.516487906346;-2.16666674613953;2193682;1
-81.025039;24.665677;"Epinephelus itajara";"50c9509d-22c7-4a22-a47d-8c48425ef4a7";"GBIF";131;26.996366616242;9.46807107579564;8.0559302752355;205.532497733253;-8.27777767181396;2199087;1
-81.752791;24.538184;"Epinephelus itajara";"50c9509d-22c7-4a22-a47d-8c48425ef4a7";"GBIF";132;26.9101993393598;10.0365879678257;8.05706327033579;206.99111956682;-6.66666650772095;2215275;1
-80.83561;24.75929;"Epinephelus itajara";"50c9509d-22c7-4a22-a47d-8c48425ef4a7";"GBIF";133;27.0114894364715;9.76612872535115;8.05445356634592;205.332676195132;-5.02777767181396;2188289;1
-80.82135;24.704632;"Epinephelus itajara";"50c9509d-22c7-4a22-a47d-8c48425ef4a7";"GBIF";134;27.0288525452681;9.37296920866907;8.05479692040859;205.305401212892;-20.8888893127441;2193690;1
-81.653558;24.482989;"Epinephelus itajara";"50c9509d-22c7-4a22-a47d-8c48425ef4a7";"GBIF";135;26.9723374041427;9.12413739724562;8.05699479122094;206.757867866729;-40.4444427490234;2220678;1
-80.410823;25.186221;"Epinephelus itajara";"50c9509d-22c7-4a22-a47d-8c48425ef4a7";"GBIF";137;26.7267316538685;11.4695996888053;8.05875735379794;205.396410828098;-1.33333337306976;2145089;1
-80.459516;25.004091;"Epinephelus itajara";"50c9509d-22c7-4a22-a47d-8c48425ef4a7";"GBIF";138;26.8704050306267;9.45865341713353;8.05673008192432;205.1533227372;-1.80555558204651;2161291;1
-81.59388;24.702752;"Epinephelus itajara";"50c9509d-22c7-4a22-a47d-8c48425ef4a7";"GBIF";139;26.6828921642018;12.0818067928223;8.05587223615571;207.035972844085;-1.58333337306976;2193675;1
-68.251729;12.315306;"Epinephelus itajara";"50c9509d-22c7-4a22-a47d-8c48425ef4a7";"GBIF";141;27.8869990644297;4.09291720532864;8.03505602301011;203.335068915686;-1043.72216796875;3533389;1
-78.902234;20.858438;"Epinephelus itajara";"50c9509d-22c7-4a22-a47d-8c48425ef4a7";"GBIF";143;28.1103875748883;6.40634714979523;8.05710717525193;202.0140524234;-12;2609605;1
-78.971987;20.91464;"Epinephelus itajara";"50c9509d-22c7-4a22-a47d-8c48425ef4a7";"GBIF";144;28.1072662214102;6.43791040330302;8.05732072241407;202.002941808239;-17.0833339691162;2604203;1
-80.651387;24.856579;"Epinephelus itajara";"50c9509d-22c7-4a22-a47d-8c48425ef4a7";"GBIF";146;27.0330633382221;9.50895993563844;8.05430064185913;205.277178179655;-2.36111116409302;2177490;1
-80.742189;24.912101;"Epinephelus itajara";"50c9509d-22c7-4a22-a47d-8c48425ef4a7";"GBIF";148;26.9660225494416;10.3767228383713;8.05322478631563;205.29038975134;-1.86111116409302;2172088;1
-81.485728;24.66791;"Epinephelus itajara";"50c9509d-22c7-4a22-a47d-8c48425ef4a7";"GBIF";149;26.8066658640367;11.3637130309487;8.05608396024839;206.405536430393;-0.0277777779847383;2199078;1
-80.028576;26.975367;"Epinephelus itajara";"50c9509d-22c7-4a22-a47d-8c48425ef4a7";"GBIF";150;26.0053458562764;8.64113525813429;8.0576851032144;205.705239167194;-21.4444446563721;1950661;1
-78.909784;20.947988;"Epinephelus itajara";"50c9509d-22c7-4a22-a47d-8c48425ef4a7";"GBIF";152;28.1039389452264;6.52738124195449;8.05725182083488;201.995504737377;-17.8333339691162;2604204;1
-80.126887;27.189695;"Epinephelus itajara";"50c9509d-22c7-4a22-a47d-8c48425ef4a7";"GBIF";153;25.4393684667847;8.50495310244311;8.06061523195407;206.204124350369;-10.8611106872559;1929055;1
-81.572312;24.669993;"Epinephelus itajara";"50c9509d-22c7-4a22-a47d-8c48425ef4a7";"GBIF";156;26.7028209024753;11.6519601487707;8.05620210346332;206.741074150239;-1.94444441795349;2199076;1
